Test Type,RMSE,DTW min values,DTW max values,DTW avg values,DTW range values,min index,max index,DTW min values by class,DTW max values by class,DTW avg values by class,DTW range values by class,min index by class,max index by class
Beef with 2 segments for 1 permutations and bottleneck,0.517740454033988,38.7878300396488,205.755626747022,78.4362056873792,166.967796707373,13,2,"[76.23807785956002, 39.3615649980699, 38.787830039648775, 54.11444794650092, 52.043782886087826]","[205.75562674702178, 88.51315767258586, 109.21806361155984, 105.75936362918804, 100.06835172427026]","[121.43821033677928, 56.05380953326989, 63.26888733597875, 75.52027083159041, 75.89985039927781]","[129.51754888746177, 49.15159267451596, 70.43023357191106, 51.64491568268713, 48.02456883818243]","[5, 10, 13, 22, 28]","[2, 9, 15, 21, 29]"
Beef with 2 segments for 1 permutations and nobottleneck,0.349746793150439,12.2984658174303,192.562178472125,39.8694743866904,180.263712654695,7,1,"[38.45185210019583, 12.298465817430255, 15.452635191493798, 14.867198568770863, 13.244434842346674]","[192.5621784721254, 62.08942489371752, 52.56735321747634, 59.3507350030653, 63.0424269475637]","[90.97312287613589, 23.79464475296004, 24.372356072822924, 32.432939121881674, 27.774309109651423]","[154.11032637192957, 49.790959076287265, 37.11471802598254, 44.483536434294436, 49.79799210521702]","[5, 7, 14, 19, 25]","[1, 9, 15, 18, 24]"
Beef with 3 segments for 1 permutations and bottleneck,1.21954701800283,139.667034120504,425.271579311569,217.500074009172,285.604545191065,17,1,"[204.1396242141219, 142.86877544734125, 139.667034120504, 166.57858003362767, 145.4576257547101]","[425.27157931156944, 233.20239213363692, 227.30719952150037, 286.01381046123527, 275.37834609092135]","[307.6155192792421, 178.72207598587894, 187.79107987381005, 222.19489406186005, 191.17680084506955]","[221.13195509744753, 90.33361668629567, 87.64016540099635, 119.43523042760759, 129.92072033621125]","[0, 9, 17, 18, 26]","[1, 11, 15, 19, 24]"
Beef with 3 segments for 1 permutations and nobottleneck,0.915803567104207,46.727270836463,219.571289820486,114.828782786808,172.844018984023,13,2,"[54.331562784392496, 52.48165098944073, 46.72727083646296, 53.83744317084232, 60.433065551081064]","[219.57128982048602, 176.02798174609293, 181.99817857526747, 131.6562334589946, 187.82465259905314]","[153.7103440514218, 113.97796012967144, 107.54643444340716, 99.76380637800041, 99.14536893153972]","[165.2397270360935, 123.5463307566522, 135.2709077388045, 77.81879028815227, 127.39158704797208]","[5, 7, 13, 20, 28]","[2, 9, 15, 21, 29]"
Beef with 3 segments for 2 permutations and nobottleneck,0.835252730322083,52.7754201989778,275.040617339308,127.410612155437,222.26519714033,26,1,"[86.12263705125325, 98.06081442928938, 62.077666404518325, 119.7128955750909, 52.77542019897784]","[275.0406173393077, 191.26491259246325, 137.9976048039955, 171.75730725388155, 128.48982656763152]","[158.92045547657958, 134.97180914033143, 112.51207536973932, 143.43021612606688, 87.21850466446527]","[188.91798028805442, 93.20409816317387, 75.91993839947718, 52.04441167879065, 75.71440636865368]","[0, 6, 17, 20, 26]","[1, 10, 13, 22, 24]"
Beef with 3 segments for 3 permutations and nobottleneck,0.752584446825154,69.2623591842217,158.197340897345,109.512854396015,88.9349817131231,17,21,"[95.71927393924031, 91.21176634792445, 69.26235918422168, 82.87773232078197, 84.67737804298514]","[153.04297268525096, 152.55692907859464, 108.71019692230387, 158.19734089734473, 123.04351606565041]","[116.28242658034127, 113.28451055295096, 88.67769065401494, 119.47904596780633, 109.84059822496238]","[57.32369874601065, 61.34516273067018, 39.447837738082185, 75.31960857656276, 38.36613802266527]","[5, 9, 17, 19, 29]","[4, 10, 12, 21, 26]"
Beef with 4 segments for 1 permutations and bottleneck,1.17034671949967,62.9185461263762,345.952277342692,166.023025555263,283.033731216316,10,9,"[124.28627909851637, 62.91854612637622, 124.19209262354794, 92.30773039705991, 79.8364590878959]","[237.42767287952967, 345.952277342692, 189.95699879897373, 168.76130698702113, 249.5053492318884]","[189.91751681790296, 167.51444102574587, 154.571948254798, 136.48061134327654, 181.63061033459314]","[113.14139378101329, 283.0337312163158, 65.76490617542579, 76.45357658996122, 169.66889014399248]","[2, 10, 12, 19, 25]","[4, 9, 16, 23, 29]"
Beef with 4 segments for 1 permutations and nobottleneck,1.09123134473923,71.7456657114404,302.047243254764,155.520162610604,230.301577543324,11,29,"[104.34691067180604, 71.74566571144041, 113.49390475154595, 96.58246746316294, 100.28579605159442]","[291.29903299689585, 196.11419553302082, 223.4066734697709, 181.93671958302957, 302.04724325476417]","[173.2156187759406, 144.09408758183022, 150.18096196081342, 137.15955495818986, 172.9505897762472]","[186.95212232508982, 124.36852982158041, 109.91276871822495, 85.35425211986663, 201.76144720316975]","[0, 11, 14, 20, 27]","[4, 10, 13, 18, 29]"
Beef with 4 segments for 2 permutations and nobottleneck,0.991563382215274,57.4173961168154,244.628345554213,151.543544368772,187.210949437398,26,3,"[104.60442738801268, 67.99038144284908, 83.16293613320647, 98.30878565783215, 57.417396116815375]","[244.62834555421307, 237.8777635837253, 218.5913632856183, 175.59800342465033, 217.56307899886133]","[177.49830811815139, 149.73661337452134, 158.6497353790748, 135.355044004989, 136.4780209671221]","[140.0239181662004, 169.88738214087624, 135.42842715241184, 77.28921776681818, 160.14568288204595]","[5, 11, 14, 23, 26]","[3, 7, 17, 21, 29]"
Beef with 4 segments for 3 permutations and nobottleneck,0.91724961963558,78.9216920477816,172.113483920869,130.956484208033,93.1917918730875,26,19,"[111.5232727122543, 85.47025213180835, 94.40498868973972, 113.03786536531783, 78.92169204778156]","[167.91516212319226, 152.30325880978032, 157.72586852628845, 172.1134839208691, 160.56261305259085]","[144.23659022871422, 119.74010722743401, 118.25309972245317, 147.0593573458364, 125.49326651572703]","[56.391889410937964, 66.83300667797197, 63.32087983654873, 59.07561855555127, 81.64092100480929]","[0, 8, 12, 20, 26]","[3, 6, 16, 19, 25]"
Beef with 4 segments for 4 permutations and nobottleneck,0.833967095436033,47.6424795203367,211.427968614866,114.086599823708,163.785489094529,8,4,"[52.180161187581604, 47.64247952033666, 57.679333910559826, 76.28454699599985, 72.84915005395169]","[211.42796861486568, 143.66866315194548, 144.38573884570968, 151.40589877470245, 169.96930032551396]","[142.73137446938884, 97.67556305455737, 97.6077539266734, 114.45881972148466, 117.95948794643813]","[159.24780742728407, 96.02618363160883, 86.70640493514986, 75.1213517787026, 97.12015027156227]","[5, 8, 13, 20, 26]","[4, 10, 17, 18, 28]"
